"ug","shear","ub","ur","u:0","u:1","u:2","twist","isotropic","uniaxial","Points:0","Points:1","Points:2"
3.7002,0.00052934,-4.3479,0.64767,0.24903,-0.35592,0,0.0014935,-0.00014575,0.0010439,100.58,369.12,0
4.0029,0.0010973,-4.5913,0.5884,0.27293,-0.37356,0,0.0021385,-0.00014596,0.0016176,110.8,375.77,0
4.2746,0.0015155,-4.7557,0.48109,0.29608,-0.38387,0,0.0025609,-0.00019323,0.00173,106.01,384.07,0
4.2925,0.0013836,-4.7916,0.4991,0.29682,-0.38711,0,0.0022876,-0.00024791,0.0015347,115.66,380.74,0
4.0055,0.0011743,-4.5697,0.56423,0.27388,-0.37129,0,0.0024373,-0.00014555,0.0017951,101.83,380.11,0
4.0029,0.001094,-4.5913,0.5884,0.27293,-0.37356,0,0.0021315,-0.00015386,0.0016075,110.8,375.77,0
4.2746,0.0015287,-4.7557,0.48109,0.29608,-0.38387,0,0.0026087,-0.00015022,0.001793,106.01,384.07,0
3.2083,-0.00030464,-3.925,0.7167,0.21105,-0.32445,0,0.0014348,0.0001721,0.00093461,88.562,354.34,0
3.4168,0.00024968,-4.1383,0.72148,0.22609,-0.34127,0,0.0013787,1.0327e-05,0.00092608,98.003,358.24,0
3.4348,0.00020001,-4.1207,0.68588,0.22851,-0.33904,0,0.0016645,2.3065e-05,0.001161,92.569,362.93,0
3.2083,-0.00030934,-3.925,0.7167,0.21105,-0.32445,0,0.001448,0.000192,0.00091118,88.562,354.34,0
3.4168,0.00025454,-4.1383,0.72148,0.22609,-0.34127,0,0.0013703,-4.9378e-06,0.0009428,98.003,358.24,0
3.2603,4.8997e-06,-4.0249,0.76459,0.21334,-0.33342,0,0.0011782,8.0166e-05,0.00064137,96.576,350.01,0
3.443,0.00097157,-3.4438,0.00082345,0.25062,-0.26967,0,-0.0005001,-0.00050631,7.1576e-05,346.08,379.71,0
3.5188,0.0010039,-3.5642,0.045402,0.25474,-0.28016,0,-0.00052126,-0.00053055,0.00014486,340.79,383.79,0
3.4743,0.0009537,-3.5237,0.049417,0.25137,-0.27708,0,-0.00044541,-0.00050246,0.00016747,339.25,375.87,0
-0.86139,-0.00014679,0.31429,0.5471,-0.079894,0.011535,0,-7.0931e-05,-0.00013533,-6.9636e-05,474.88,50.706,0
-0.88539,-0.00014836,0.31052,0.57487,-0.082513,0.010576,0,-7.5988e-05,-0.00011978,-2.9403e-05,477.85,60.173,0
-0.88013,-0.00012815,0.31098,0.56915,-0.081951,0.010749,0,-5.1161e-05,-0.00012504,-5.6161e-05,482.96,53.206,0
0.45828,0.00010877,-0.9698,0.51152,0.017296,-0.088159,0,6.2666e-05,-7.7693e-05,-3.1576e-05,108.75,157.75,0
0.43417,0.00010559,-0.95675,0.52257,0.015194,-0.087401,0,5.1767e-05,-7.7284e-05,-3.0301e-05,117.21,150.54,0
0.43743,0.00010377,-0.95965,0.52222,0.015442,-0.08762,0,5.5445e-05,-7.4102e-05,-2.8003e-05,110.01,147.34,0
0.48813,0.0001154,-0.98563,0.4975,0.01991,-0.089063,0,8.0185e-05,-7.6131e-05,-2.6745e-05,91.321,161.87,0
0.49957,0.00011997,-0.99041,0.49084,0.020952,-0.089278,0,7.9556e-05,-7.979e-05,-3.4484e-05,94.286,168.78,0
0.47984,0.00011357,-0.98098,0.50114,0.019192,-0.088786,0,7.2053e-05,-7.7892e-05,-3.2583e-05,99.636,162.76,0
3.7853,0.00097975,-4.4344,0.64914,0.25518,-0.36273,0,0.0012426,-0.00043584,0.0011422,130.46,360.42,0
3.7309,0.0010673,-4.365,0.63411,0.25169,-0.35693,0,0.0011474,-0.00061774,0.0011666,140.82,355.92,0
3.5811,0.00093709,-4.27,0.68894,0.23906,-0.35081,0,0.0010031,-0.00045068,0.0010378,130.62,352.63,0
0.48813,0.00011506,-0.98563,0.4975,0.01991,-0.089063,0,8.0231e-05,-7.5718e-05,-2.6494e-05,91.321,161.87,0
0.49957,0.00012013,-0.99041,0.49084,0.020952,-0.089278,0,7.9576e-05,-8.0038e-05,-3.467e-05,94.286,168.78,0
0.51159,0.00012452,-0.99653,0.48494,0.022012,-0.089617,0,8.705e-05,-7.9768e-05,-3.0458e-05,87.105,170,0
0.53044,0.00012065,-1.0047,0.47426,0.02372,-0.090001,0,0.0001217,-7.4278e-05,5.3624e-06,62.404,167.64,0
0.53448,0.0001133,-1.0046,0.47012,0.024144,-0.089895,0,0.00013588,-7.2712e-05,1.8438e-05,54.768,167.45,0
0.55397,0.00013086,-1.0161,0.46215,0.025813,-0.090606,0,0.00013331,-8.0341e-05,1.2979e-05,58.004,174.72,0
0.53448,0.0001128,-1.0046,0.47012,0.024144,-0.089895,0,0.00013629,-7.2397e-05,1.835e-05,54.768,167.45,0
0.55397,0.00013146,-1.0161,0.46215,0.025813,-0.090606,0,0.00013278,-8.0673e-05,1.3152e-05,58.004,174.72,0
